,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
1106,1909.06.18,1909,6,,,Sea Disaster,"1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909",Queensland,"Middleton Reef, 300 nm from Brisbane",M,unknown,Y,unknown,
1107,1909.00.00,1909,3,,,Unprovoked,unknown,New South Wales,Woy Woy,unknown,unknown,N,unknown,
1108,1908.09.21,1908,9,,,Unprovoked,Fell from the jetty,Torres Strait,Thursday Island,M,unknown,Y,Remains recovered from 3 sharks,
1109,1907.12.21,1907,12,,,Unprovoked,Bathing,New South Wales,"Middle Harbour, Sugarloaf Bay, Sydney (Estuary)",M,unknown,Y,Bull shark,bull
1110,1907.10.18.R,1907,10,,,Unprovoked,Bathing,Torres Strait,Near Thursday Island,M,unknown,Y,unknown,
1111,1907.10.14,1907,10,11.0,Midday,Unprovoked,Bathing,New South Wales,"Merewether Beach, near Newcastle",M,unknown,N,unknown,
1112,1907.07.04.R,1907,7,,,unknown,unknown,Queensland,Karra Garra,M,unknown,Y,unknown,
1113,1907.02.03,1907,2,8.0,Morning,Unprovoked,Bathing,Queensland,Ross Creek,M,18,Y,unknown,
1114,1906.09.05.R,1906,9,,,Unprovoked,Swimming,Torres Strait,Mabiuag,M,unknown,Y,unknown,
1115,1906.04.16,1906,4,,,Provoked,Shooting sharks ,Victoria,Western Port Bay,M,unknown,N,13' shark,
1116,1906.04.14,1906,4,,,Unprovoked,Diving for beche-de-mer ,Queensland,Lizard Island,M,17,Y,unknown,
1117,1906.04.02.R,1906,4,,,unknown,unknown,New South Wales,Moodie Beach,M,18,Y,unknown,
1118,1906.01.28,1906,1,14.0,Afternoon,Unprovoked,Bathing,New South Wales,Georges River,M,32,Y,unknown,
1119,1905.12.29,1905,12,,,unknown,Bathing,Western Australia,Geraldton,M,unknown,N,Shark involvement not confirmed,
1120,1905.09.29,1905,9,,,Unprovoked,Swimming,New South Wales,"Waverly, Sydney",M,unknown,Y,unknown,
1121,1905.03.26,1905,3,8.0,Morning,Unprovoked,Bathing,New South Wales,Lismore,M,40,N,5' shark,
1122,1905.03.25,1905,3,,,unknown,Bathing,Tasmania,Bridport,unknown,unknown,Y,unknown,
1123,1905.02.10,1905,2,,,unknown,Bathing,Victoria,Elwood,M,23,Y,unknown,
1124,1905.01.01,1905,1,,,unknown,Bathing,Victoria,Elwood,M,39,Y,unknown,
1125,1904.02.07,1904,2,,,Unprovoked,Swimming after his hat,Queensland,Brisbane,M,unknown,Y,unknown,
1126,1903.06.21,1903,6,,,Unprovoked,Swimming,New South Wales,Georges River,M,unknown,Y,unknown,
1127,1903.03.20.R,1903,3,,,Unprovoked,Suicide,New South Wales,Sydney,M,unknown,Y,unknown,
1128,1903.03.12,1903,3,,,Unprovoked,Swimming,Queensland,Logan River,M,unknown,Y,unknown,
1129,1903.01.10,1903,1,,,Unprovoked,unknown,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",M,unknown,Y,Bull shark,bull
1130,1902.11.10,1902,11,14.0,Afternoon,Unprovoked,Swimming,New South Wales,"Middle Harbour, Sydney ",M,17,Y,unknown,
1131,1902.01.25.R,1902,1,,,Unprovoked,Dangling feet in the water,New South Wales,Kerosene Bay,M,unknown,Y,unknown,
1132,1902.01.19,1902,1,12.0,Midday,Unprovoked,Swimming,Queensland,Brisbane,M,16,N,unknown,
1133,1901.12.01,1901,12,,,Unprovoked,Bathing,Queensland,Brisbane,M,10,N,unknown,
1134,1901.01.30,1901,1,,,Unprovoked,Bathing,Queensland,Brisbane,M,unknown,Y,unknown,
1135,1900.12.27,1900,12,,,Unprovoked,Bathing,New South Wales,"Middle Harbour, Sydney ",M,unknown,Y,unknown,
1136,1900.09.15,1900,9,,,Unprovoked,Swimming,Queensland,Townsville,M,unknown,N,unknown,
1137,1900.01.28,1900,1,12.0,Midday,Unprovoked,"Standing, gathering oysters",New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",M,unknown,N,unknown,
